순번	영상ID	제목	길이	상태
111	FWpWVms0DUw	건설사에 떨어진 빚 폭탄, 책임준공이 이래서 무섭습니다 (언더스탠딩 장순원 기자)	33분	
112	zMhu6F8ebf4	찬바람 불면 집을 사러 나서야 합니다 (분전아카데미 김건우 대표)	71분	
113	QOMDvpNkhdY	재건축 상가투자, 진짜 빨간불이 켜졌습니다 (언더스탠딩 장순원 기자)	42분	
114	2wTuk4btC8k	대형마트는 절대 혼자 죽지 않습니다 (언더스탠딩 장순원 기자)	19분	
115	yW30bqR9mzA	불편해도 버티던 재건축 몸테크는 끝났습니다 (법무법인 율촌 최준영 전문위원)	60분	
116	k6zXwqULAEY	쓰러질 것 같은 임대주택, 재건축 안되는 이유 (언더스탠딩 장순원 기자)	42분	
117	691EaEhHS_8	낡은 집에 살 걸 그랬나, 암만 봐도 이상한 재건축 부담금 (언더스탠딩 장순원 기자)	32분	
118	zDK5fkxDhrI	서울시가 둔촌주공 1천 채를 헐값에 사갔습니다 (언더스탠딩 장순원 기자)	32분	
119	l0NL0fHJWUU	한국 아파트는 왜 PF의 무덤이 됐나 (언더스탠딩 김상훈 기자)	53분	
120	WFX714Fdr7A	민간 아파트 사전청약, 시한폭탄이 될 수 있습니다 (언더스탠딩 장순원 기자)	29분	
121	Tq00H8dFICM	강남 고급빌라 주인들이 세금 230억 아낀 사연 (언더스탠딩 장순원 기자)	30분	
122	XB5DRr5NaM4	이런 정책 나오면 집값 올라갑니다 (언더스탠딩 장순원 기자)	29분	
123	MmdYCCeAFCE	은행에서 이상한 본드를 판대요 이름이 커버드... 본... 드? (언더스탠딩 장순원 기자)	24분	
124	ZdveICfegt4	확 내려간 대출금리, 은행의 속셈은 이겁니다 (언더스탠딩 장순원 기자)	25분	
125	kdu-RoAwLcw	둔촌주공 이번에는 학교 때문에 난리 났습니다 (언더스탠딩 백종훈 기자)	33분	
126	2U_Gd44iIPg	아파트 공사비 더 오른다는 판결, 정말일까요? (언더스탠딩 장순원 기자)	38분	
127	iY3xu2TtueU	현대차 사옥 층수 반토막, 그런데 서울시가 화난 이유? (언더스탠딩 장순원 기자)	28분	
128	kQjJFPINrs0	1기 신도시 재건축 이대로면 50년도 더 걸려요 (투미부동산컨설팅 김제경 소장)	65분	
129	DBJxF_h1k0U	속도 내는 1기 신도시 재건축 현실에선 이게 폭탄입니다 (언더스탠딩 장순원 기자)	28분	
