날짜,제목,발표자,소속,원제목,링크
2026-08-05,How Forward Deployed Engineering is done at Cognition,Jia Wu,,How Forward Deployed Engineering is done at Cognition — Jia Wu,https://youtu.be/RVxym6mmIns
2026-08-05,How Forward Deployed Engineering is done at Ramp,Leo Mehr,,How Forward Deployed Engineering is done at Ramp — Leo Mehr,https://youtu.be/ITMXwI6QL6A
2026-08-05,The Dirty Secret of Forward Deployed Engineering,Natalie Meurer,Sierra,"The Dirty Secret of Forward Deployed Engineering — Natalie Meurer, Sierra",https://youtu.be/Byv311hdoHE
2026-08-05,How Forward Deployed Engineering is done at Decagon,Sunny Rekhi,,How Forward Deployed Engineering is done at Decagon — Sunny Rekhi,https://youtu.be/7wu2hsRfvV0
2026-08-05,How Forward Deployed Engineering is done at Kepler,Vinoo Ganesh,,How Forward Deployed Engineering is done at Kepler — Vinoo Ganesh,https://youtu.be/1OMHGsUZiqA
2026-07-29,Forward Deployed Engineering 101,Kevin Bai,"Anthropic, ex Palantir & Rippling Founding FDE","Forward Deployed Engineering 101 — Kevin Bai, Anthropic, ex Palantir & Rippling Founding FDE",https://youtu.be/KwhgfwOSToQ
2026-07-29,Serving 2 Million Models Without Melting: Scaling the Hugging Face Hub,Arek Borucki,Hugging Face,"Serving 2 Million Models Without Melting: Scaling the Hugging Face Hub — Arek Borucki, Hugging Face",https://youtu.be/lyL5QhgIOxc
2026-07-29,"AI Agents for Performance: Ship Faster, Pay Less",Rajat Shah,Netflix,"AI Agents for Performance: Ship Faster, Pay Less — Rajat Shah, Netflix",https://youtu.be/CgsWxRUY5Eo
2026-07-29,DeepSWE: A Contamination-Resistant Coding Benchmark,James Shi,Datacurve,"DeepSWE: A Contamination-Resistant Coding Benchmark — James Shi, Datacurve",https://youtu.be/Yk87oUPVaxU
2026-07-29,State of Data,Sean Cai,Independent / State of Data,"State of Data — Sean Cai, Independent / State of Data",https://youtu.be/ZyIoTOAbRfs
2026-07-29,The Messy Reality of Scale: Synthetic Data and Pre-Training,Marah Abdin & Robert McHardy,poolside,"The Messy Reality of Scale: Synthetic Data and Pre-Training — Marah Abdin & Robert McHardy, poolside",https://youtu.be/KhYifX22yhE
2026-07-29,Evals-Driven Development for a Mental Health AI Coach,Akele Reed & Dave Revere,SonderMind,"Evals-Driven Development for a Mental Health AI Coach — Akele Reed & Dave Revere, SonderMind",https://youtu.be/O72p-rBb2bA
2026-07-29,Loop Engineering from First Principles,Kyle Mistele,HumanLayer,"Loop Engineering from First Principles — Kyle Mistele, HumanLayer",https://youtu.be/xIt_mTQp6mY
2026-07-29,Why Large? Tiny LMs & Agents on Edge/Robotics,Cormac Brick,Google,"Why Large? Tiny LMs & Agents on Edge/Robotics — Cormac Brick, Google",https://youtu.be/hacEQHHhu2Q
2026-07-26,From Agent Traces to Agent Simulations,Rustem Feyzkhanov,Snorkel AI,"From Agent Traces to Agent Simulations — Rustem Feyzkhanov, Snorkel AI",https://youtu.be/Ib5t2RLtxvM
2026-07-26,Evaling Video Slop,Maor Bril,Character.ai,"Evaling Video Slop — Maor Bril, Character.ai",https://youtu.be/b_PmGocP4rc
2026-07-26,Building Closed-Loop Evals for a Multimodal Agent at Scale,Soumya Gupta & Jai Chopra,Uber,"Building Closed-Loop Evals for a Multimodal Agent at Scale — Soumya Gupta & Jai Chopra, Uber",https://youtu.be/31GUkCBD-Uc
2026-07-26,How Evals and Prompts Shape Agent Behavior,Preetika Bhateja & Daniel Bump,YouTube Ads,"How Evals and Prompts Shape Agent Behavior — Preetika Bhateja & Daniel Bump, YouTube Ads",https://youtu.be/xyL2Ltkh-SA
2026-07-26,From Signal to PR: Anatomy of a Self-Improving Agent,Jason Lopatecki,Arize,"From Signal to PR: Anatomy of a Self-Improving Agent — Jason Lopatecki, Arize",https://youtu.be/9HbzAWnKbo4
2026-07-26,The Future of Evals: From LLM as a Judge to Agent as a Judge,Aparna Dhinakaran,Arize AI,"The Future of Evals: From LLM as a Judge to Agent as a Judge — Aparna Dhinakaran, Arize AI",https://youtu.be/q2JrUKBMf0w
2026-07-26,Everything Is a Rollout,Alex Shaw + Ryan Marten,"Terminal-Bench, Harbor, Laude Institute","Everything Is a Rollout — Alex Shaw + Ryan Marten, Terminal-Bench, Harbor, Laude Institute",https://youtu.be/jRCpXUjz4CI
2026-07-26,"Full Workshop: Setting Yourself Up for Success —Jason Liu, OpenAI Codex",,,"Full Workshop: Setting Yourself Up for Success —Jason Liu, OpenAI Codex",https://youtu.be/il1c1a2FufU
2026-07-26,Vending-Bench: Long-Horizon Agent Evals,Lukas Petersson,Andon Labs,"Vending-Bench: Long-Horizon Agent Evals — Lukas Petersson, Andon Labs",https://youtu.be/cO8qC6HBuBg
2026-07-26,Training Frontier Models to Out-Think Hackers,Uri Rolls,"Arithmetic & Thom Wolf, Hugging Face","Training Frontier Models to Out-Think Hackers — Uri Rolls, Arithmetic & Thom Wolf, Hugging Face",https://youtu.be/O-CBZ3JtRvo
2026-07-26,The Unreasonable Effectiveness of Separating the Task from the Model,Maxime Rivest & Isaac Miller,,The Unreasonable Effectiveness of Separating the Task from the Model — Maxime Rivest & Isaac Miller,https://youtu.be/GgLQ02aO-hs
2026-07-26,Notion's Token Town,Sarah Sachs,Notion,"Notion's Token Town — Sarah Sachs, Notion",https://youtu.be/-I5W5QVAT8E
2026-07-26,Harness Engineering is not Enough: Why Software Factories Fail,Dex Horthy,HumanLayer,"Harness Engineering is not Enough: Why Software Factories Fail — Dex Horthy, HumanLayer",https://youtu.be/Ib5GBkD555M
2026-07-26,Perception Agents,Antje Barth,Amazon AGI Lab,"Perception Agents — Antje Barth, Amazon AGI Lab",https://youtu.be/2JX6JYyQG4Y
2026-07-26,"AI on Your Lakehouse: Context Comes in Shapes, Not Queries",Zach Blumenfeld,Neo4j,"AI on Your Lakehouse: Context Comes in Shapes, Not Queries — Zach Blumenfeld, Neo4j",https://youtu.be/kRkcNOsRyYg
2026-07-26,Why We Killed Our Multi-Agent Pipeline,Subbiah Sethuraman and Abhilash Asokan,ZS Associates,"Why We Killed Our Multi-Agent Pipeline — Subbiah Sethuraman and Abhilash Asokan, ZS Associates",https://youtu.be/u6jJcIFDLE4
